url,dominio,label,pais
allegrolokalnie.ov8a72.pl/oferta/877c917d-788a-40ec-9ed8-bcba0918a4e2,allegrolokalnie.ov8a72.pl,1,Generico
fg-jp.cc,fg-jp.cc,1,Generico
mail-106443.weeblysite.com,mail-106443.weeblysite.com,1,Generico
defiai-site.com/?shiny=&ymlene=omum43&lmrohu=lzyb53&uuzmxe=mgp1k&kunqxs=k9xfk3&oavspi=mgznk3&ewfivs=wmkn01&tkxgjk=bblxe1&qcxqpg=me5bm2&qcbady=4mkbk2&xujofm=rjs9m3&tsjsji=b7gme3&dqzgxm=1bxyo3&iivabs=usvye,defiai-site.com,1,Generico
condescending-austin-1a040b.netlify.app,condescending-austin-1a040b.netlify.app,1,Generico
mail.kajab.duckdns.org,mail.kajab.duckdns.org,1,Generico
new.lgt-uk.com,new.lgt-uk.com,1,Generico
pancakeswap-ru.online,pancakeswap-ru.online,1,Generico
mzams.enrerqf.presse.ci,mzams.enrerqf.presse.ci,1,Generico
foortnght.gq/Ourtime,foortnght.gq,1,Generico
saifglobalsports.com/admin_dir/plugins/quicksearch/examples/infomation-simple-compte-demand.php,saifglobalsports.com,1,Generico
bettertool.xyz/07d7cdd,bettertool.xyz,1,Generico
selfishgirl1.github.io/Free-Facebook-Blue-Badge-verify,selfishgirl1.github.io,1,Generico
auth-metaumast-wallete.webflow.io,auth-metaumast-wallete.webflow.io,1,Generico
brorrrse.tmweb.ru/brecodepostalllee,brorrrse.tmweb.ru,1,Generico
app-trzor-suite-cdn.github.io/en-us,app-trzor-suite-cdn.github.io,1,Generico
kingdomrealmsoffline.com,kingdomrealmsoffline.com,1,Generico
caliboroftiger4.vercel.app,caliboroftiger4.vercel.app,1,Generico
netflixadult.tk,netflixadult.tk,1,Generico
424a5c7a.dfxjbssxw.com/amagc/?l=,424a5c7a.dfxjbssxw.com,1,Generico
fkldklreiofdklkdsklerf.shop,fkldklreiofdklkdsklerf.shop,1,Generico
new.midasbuy-site.com,new.midasbuy-site.com,1,Generico
goaheyaney816831-jahsukelmanyeu73.duckdns.org,goaheyaney816831-jahsukelmanyeu73.duckdns.org,1,Generico
natwest-myaccount.com,natwest-myaccount.com,1,Generico
at-tinc.webflow.io,at-tinc.webflow.io,1,Generico
