url,dominio,label,pais
radiantwarmexecutable.amnhayjshd.repl.co,radiantwarmexecutable.amnhayjshd.repl.co,1,Colombia
cpesusanawesley.edu.pe/cso/Extkorea/file,cpesusanawesley.edu.pe,1,Perú
commbank-secure.co/netbank/details2.php,commbank-secure.co,1,Colombia
0359.pages.net.br/help,0359.pages.net.br,1,Brasil
advogadosbrasiliadf.com.br/cgi-bin-mail-plus/webmail_login.php,advogadosbrasiliadf.com.br,1,Brasil
seguridadbc.creditoseguro58.repl.co,seguridadbc.creditoseguro58.repl.co,1,Colombia
yellow-forest-8236.on.fleek.co,yellow-forest-8236.on.fleek.co,1,Colombia
giovana.iphone.net.br/m/ali1/ali/login.php?email=a@a.c,giovana.iphone.net.br,1,Brasil
qn8dd.we9ixzz.co,qn8dd.we9ixzz.co,1,Colombia
e6f02706-721a-4426-a302-21d2b72800a3.id.repl.co,e6f02706-721a-4426-a302-21d2b72800a3.id.repl.co,1,Colombia
todometales.cl/dropbox,todometales.cl,1,Chile
zuk98z2atb.we9ixzz.co/index/usps/index.html,zuk98z2atb.we9ixzz.co,1,Colombia
chaseebanking.co,chaseebanking.co,1,Colombia
soporte.infocdmx.org.mx/dist/temp/accesoonline,soporte.infocdmx.org.mx,1,México
icloud.iphoperdido.co/aXGsdW,icloud.iphoperdido.co,1,Colombia
cms.nitroweb.com.br/LinkedIn/LiinkedInhardest/900,cms.nitroweb.com.br,1,Brasil
ajaffe.cl/srop/business,ajaffe.cl,1,Chile
20200701105032.barsit.cloudns.cl/byolk,20200701105032.barsit.cloudns.cl,1,Chile
1632087279205.pagedemo.co,1632087279205.pagedemo.co,1,Colombia
pagafacil-enlinea.com/paga-ofertas/bancolombia/contrase%C3%B1a.html,pagafacil-enlinea.com,1,Colombia
7n3o2p1cqpvktfyzftde0xzwau.we9ixzz.co,7n3o2p1cqpvktfyzftde0xzwau.we9ixzz.co,1,Colombia
galicia.galicia092.repl.co,galicia.galicia092.repl.co,1,Colombia
claudiafranco.co/wp-includes/css/OfficeNew,claudiafranco.co,1,Colombia
athfood.co/server,athfood.co,1,Colombia
treinaflex.com.br/e-file.html,treinaflex.com.br,1,Brasil
spotifypremiumapps.com.mx,spotifypremiumapps.com.mx,1,México
informacion--notificacionyalerta.repl.co,informacion--notificacionyalerta.repl.co,1,Colombia
erasmohp.com.br/youngsunpark/12av4sdk3b7n5dqdubilsyed.php?secure&share=1blddj1648819270cafa59d59e997789504f5a27041bc33acafa59d59e997789504f5a27041bc33acafa59d59e997789504f5a27041bc33acafa59d59e997789504f5a27041bc33acafa59d59e997789504f5a27041bc33a,erasmohp.com.br,1,Brasil
