url,domain,pais,source,label
agustinianomedellin.edu.co,agustinianomedellin.edu.co,Colombia,homepage,0
cr7inmobiliaria.inmo.co,cr7inmobiliaria.inmo.co,Colombia,homepage,0
detodoparaelhogar.com,detodoparaelhogar.com,Colombia,homepage,0
hotelcapridoradal.com,hotelcapridoradal.com,Colombia,homepage,0
encuestas.usbctg.edu.co,encuestas.usbctg.edu.co,Colombia,homepage,0
nrvcc.supersalud.gov.co,nrvcc.supersalud.gov.co,Colombia,homepage,0
moztmilitary.com.co,moztmilitary.com.co,Colombia,homepage,0
bogotamotels.com,bogotamotels.com,Colombia,homepage,0
estafallando.co,estafallando.co,Colombia,homepage,0
brooklynimp.com,brooklynimp.com,Colombia,homepage,0
elmayorista.com,elmayorista.com,Colombia,homepage,0
23435464493.apdownload.com,23435464493.apdownload.com,Colombia,homepage,0
juridicox.com,juridicox.com,Colombia,homepage,0
soporte.atrapalo.com.co,soporte.atrapalo.com.co,Colombia,homepage,0
cotrasangil.com,cotrasangil.com,Colombia,homepage,0
editorialencuentro.com,editorialencuentro.com,Colombia,homepage,0
amattdenim.com,amattdenim.com,Colombia,homepage,0
cordilleras.com.co,cordilleras.com.co,Colombia,homepage,0
card.apperty.app,card.apperty.app,Colombia,homepage,0
emdupar.gov.co,emdupar.gov.co,Colombia,homepage,0
aipeshoes.com,aipeshoes.com,Colombia,homepage,0
automax.com.co,automax.com.co,Colombia,homepage,0
iudigital.edu.co,iudigital.edu.co,Colombia,homepage,0
micampus.unal.edu.co,micampus.unal.edu.co,Colombia,homepage,0
aletta.com.co,aletta.com.co,Colombia,homepage,0
contoda.com.co,contoda.com.co,Colombia,homepage,0
humanizar.edu.co,humanizar.edu.co,Colombia,homepage,0
mylovestore.co,mylovestore.co,Colombia,homepage,0
lapausahotel.com,lapausahotel.com,Colombia,homepage,0
miplantecucuta.com,miplantecucuta.com,Colombia,homepage,0
ordecol.com,ordecol.com,Colombia,homepage,0
odoo.optecom.com.co,odoo.optecom.com.co,Colombia,homepage,0
porkcolombia.co,porkcolombia.co,Colombia,homepage,0
prontus.jaccomerciales.com,prontus.jaccomerciales.com,Colombia,homepage,0
picadasamarellas.com,picadasamarellas.com,Colombia,homepage,0
servidores.com.co,servidores.com.co,Colombia,homepage,0
tecnico.fedecoltenis.com,tecnico.fedecoltenis.com,Colombia,homepage,0
surtiacrylicos.com,surtiacrylicos.com,Colombia,homepage,0
eleganzashop.co,eleganzashop.co,Colombia,homepage,0
autoymotoferia.com.co,autoymotoferia.com.co,Colombia,homepage,0
formacion.grupovanti.com,formacion.grupovanti.com,Colombia,homepage,0
sabaneta.gov.co,sabaneta.gov.co,Colombia,homepage,0
campusvirtual.centrocms.com,campusvirtual.centrocms.com,Colombia,homepage,0
moodle.ipn.edu.co,moodle.ipn.edu.co,Colombia,homepage,0
soacha.avisos-colombia.com,soacha.avisos-colombia.com,Colombia,homepage,0
aguademar.com.co,aguademar.com.co,Colombia,homepage,0
renaultnorteysur.com,renaultnorteysur.com,Colombia,homepage,0
mercurylatam.com,mercurylatam.com,Colombia,homepage,0
eme.com.co,eme.com.co,Colombia,homepage,0
bienestar.unisangil.edu.co,bienestar.unisangil.edu.co,Colombia,homepage,0
equirent.com.co,equirent.com.co,Colombia,homepage,0
panoramaitagui.com,panoramaitagui.com,Colombia,homepage,0
cundifutbol.com,cundifutbol.com,Colombia,homepage,0
aula.clinaltec.com,aula.clinaltec.com,Colombia,homepage,0
litigando.com,litigando.com,Colombia,homepage,0
virtual3.uts.edu.co,virtual3.uts.edu.co,Colombia,homepage,0
smartinbox.co,smartinbox.co,Colombia,homepage,0
refacil.co,refacil.co,Colombia,homepage,0
palorosabreakfast.com,palorosabreakfast.com,Colombia,homepage,0
colegionuevayork.edu.co,colegionuevayork.edu.co,Colombia,homepage,0
avicolaelmadrono.com,avicolaelmadrono.com,Colombia,homepage,0
colalafas.phidias.co,colalafas.phidias.co,Colombia,homepage,0
colombialider.milaulas.com,colombialider.milaulas.com,Colombia,homepage,0
autovillas.co,autovillas.co,Colombia,homepage,0
gmaxcarrental.com,gmaxcarrental.com,Colombia,homepage,0
coytex.com.co,coytex.com.co,Colombia,homepage,0
cootransfusa.com,cootransfusa.com,Colombia,homepage,0
cardiosigloxxi.com,cardiosigloxxi.com,Colombia,homepage,0
affi.net,affi.net,Colombia,homepage,0
joyeriaurbanaco.com,joyeriaurbanaco.com,Colombia,homepage,0
camaratulua.org,camaratulua.org,Colombia,homepage,0
coljaimegarzon.edu.co,coljaimegarzon.edu.co,Colombia,homepage,0
campus.vpro.com.co,campus.vpro.com.co,Colombia,homepage,0
montagas.com.co,montagas.com.co,Colombia,homepage,0
nomadliving.com.co,nomadliving.com.co,Colombia,homepage,0
consuelogomez.co,consuelogomez.co,Colombia,homepage,0
bolsavida.com.co,bolsavida.com.co,Colombia,homepage,0
bdsistemasei.com,bdsistemasei.com,Colombia,homepage,0
apps.viviendasyvalores.com.co,apps.viviendasyvalores.com.co,Colombia,homepage,0
hotelmaguipi.com.co,hotelmaguipi.com.co,Colombia,homepage,0
lamerceria.com.co,lamerceria.com.co,Colombia,homepage,0
loscobosmc.com,loscobosmc.com,Colombia,homepage,0
ciesju.udenar.edu.co,ciesju.udenar.edu.co,Colombia,homepage,0
celsiainternet.freshdesk.com,celsiainternet.freshdesk.com,Colombia,homepage,0
analdex.org,analdex.org,Colombia,homepage,0
cursosphotoarts.com,cursosphotoarts.com,Colombia,homepage,0
apply.unipd.it,apply.unipd.it,Colombia,homepage,0
allnaturalcolombia.com,allnaturalcolombia.com,Colombia,homepage,0
carreramotos.buk.co,carreramotos.buk.co,Colombia,homepage,0
lamarimonda.com,lamarimonda.com,Colombia,homepage,0
fga.com.co,fga.com.co,Colombia,homepage,0
abckidsdigital.com,abckidsdigital.com,Colombia,homepage,0
dinamicopd.com,dinamicopd.com,Colombia,homepage,0
u-cima.com,u-cima.com,Colombia,homepage,0
filmyfly.racing,filmyfly.racing,Colombia,homepage,0
welli.com.co,welli.com.co,Colombia,homepage,0
softwaregipa.com,softwaregipa.com,Colombia,homepage,0
www2.uis.edu.co,www2.uis.edu.co,Colombia,homepage,0
gse.com.co,gse.com.co,Colombia,homepage,0
brunomeza.com,brunomeza.com,Colombia,homepage,0
4dlab.co,4dlab.co,Colombia,homepage,0
popperscolombia.com,popperscolombia.com,Colombia,homepage,0
simonmolina.com,simonmolina.com,Colombia,homepage,0
academy.lupe.com.co,academy.lupe.com.co,Colombia,homepage,0
media.agasobanuyenow.com,media.agasobanuyenow.com,Colombia,homepage,0
investigaciones.upn.edu.co,investigaciones.upn.edu.co,Colombia,homepage,0
cuenca.com.co,cuenca.com.co,Colombia,homepage,0
dmariastore.com,dmariastore.com,Colombia,homepage,0
bluepanther.store,bluepanther.store,Colombia,homepage,0
saramarstore.com,saramarstore.com,Colombia,homepage,0
cpbebes.com,cpbebes.com,Colombia,homepage,0
ofeliacakes.com,ofeliacakes.com,Colombia,homepage,0
armada.psigmaonline.com,armada.psigmaonline.com,Colombia,homepage,0
alfogramas.com,alfogramas.com,Colombia,homepage,0
nacionaldeservicios.com,nacionaldeservicios.com,Colombia,homepage,0
ucp.edu.co,ucp.edu.co,Colombia,homepage,0
calentadoresagas.co,calentadoresagas.co,Colombia,homepage,0
villarreal.com.co,villarreal.com.co,Colombia,homepage,0
barrocojeans.com,barrocojeans.com,Colombia,homepage,0
ieraimundolourdes.edu.co,ieraimundolourdes.edu.co,Colombia,homepage,0
byskinlab.com,byskinlab.com,Colombia,homepage,0
co.imigra.net,co.imigra.net,Colombia,homepage,0
juntaregionalbogota.co,juntaregionalbogota.co,Colombia,homepage,0
julietamakeup.com.co,julietamakeup.com.co,Colombia,homepage,0
ruins-skateshop.com,ruins-skateshop.com,Colombia,homepage,0
canapro.coop,canapro.coop,Colombia,homepage,0
saveaplaya.org,saveaplaya.org,Colombia,homepage,0
purocuero.com.co,purocuero.com.co,Colombia,homepage,0
henriholec.edu.co,henriholec.edu.co,Colombia,homepage,0
paynext.co,paynext.co,Colombia,homepage,0
dnaplus.app,dnaplus.app,Colombia,homepage,0
ligasantandereanadefutbol.co,ligasantandereanadefutbol.co,Colombia,homepage,0
multielectro.com,multielectro.com,Colombia,homepage,0
activistasconstructivos.org,activistasconstructivos.org,Colombia,homepage,0
biosmedic.com,biosmedic.com,Colombia,homepage,0
diaxme.com,diaxme.com,Colombia,homepage,0
babykoala.co,babykoala.co,Colombia,homepage,0
owlcolombia.com,owlcolombia.com,Colombia,homepage,0
23447875897.pzpanda.com,23447875897.pzpanda.com,Colombia,homepage,0
manguerasybandas.com,manguerasybandas.com,Colombia,homepage,0
decomprass.com,decomprass.com,Colombia,homepage,0
interbogota.com,interbogota.com,Colombia,homepage,0
cootransunidos.com,cootransunidos.com,Colombia,homepage,0
sanangel.com.co,sanangel.com.co,Colombia,homepage,0
aristore.online,aristore.online,Colombia,homepage,0
elrincondelhogar.co,elrincondelhogar.co,Colombia,homepage,0
imprenta.gov.co,imprenta.gov.co,Colombia,homepage,0
revistaaxxis.com.co,revistaaxxis.com.co,Colombia,homepage,0
fcfacademy.com.co,fcfacademy.com.co,Colombia,homepage,0
extrategiamedios.com,extrategiamedios.com,Colombia,homepage,0
pregrados.ustabuca.edu.co,pregrados.ustabuca.edu.co,Colombia,homepage,0
tienda.rheem.com.co,tienda.rheem.com.co,Colombia,homepage,0
cursospreuniversitarios.com,cursospreuniversitarios.com,Colombia,homepage,0
priassport.com,priassport.com,Colombia,homepage,0
academiavipers.com,academiavipers.com,Colombia,homepage,0
simodistribuciones.com,simodistribuciones.com,Colombia,homepage,0
calzamos.com,calzamos.com,Colombia,homepage,0
brousnic.com,brousnic.com,Colombia,homepage,0
asiastorecolombia.com,asiastorecolombia.com,Colombia,homepage,0
terminaltunja.com,terminaltunja.com,Colombia,homepage,0
sicte.com,sicte.com,Colombia,homepage,0
institutobiblicocmb.edu.co,institutobiblicocmb.edu.co,Colombia,homepage,0
neuromedica.com.co,neuromedica.com.co,Colombia,homepage,0
colegiobenedictino.edu.co,colegiobenedictino.edu.co,Colombia,homepage,0
coros2026.blogspot.com,coros2026.blogspot.com,Colombia,homepage,0
eleeditorial.com,eleeditorial.com,Colombia,homepage,0
coopetransa.com,coopetransa.com,Colombia,homepage,0
barbuquejoshop.myshopify.com,barbuquejoshop.myshopify.com,Colombia,homepage,0
rservi.com.co,rservi.com.co,Colombia,homepage,0
alternativebeer.com.co,alternativebeer.com.co,Colombia,homepage,0
colegiolondres.edu.co,colegiolondres.edu.co,Colombia,homepage,0
cmaptools.en.softonic.com,cmaptools.en.softonic.com,Colombia,homepage,0
aquaterraesp.gov.co,aquaterraesp.gov.co,Colombia,homepage,0
floresdeencanto.com,floresdeencanto.com,Colombia,homepage,0
web.laserrezuela.co,web.laserrezuela.co,Colombia,homepage,0
