url,domain,pais,tld,dominio
expressolimp.com.br/isbank.com.tr/index.html,expressolimp.com.br,Brasil,,expressolimp.com.br
oei.org.ar/alfabetic/mailbox,oei.org.ar,Argentina,,oei.org.ar
68eaed0e-b007-4207-ba4f-b3cf7fe3e8cb.id.repl.co,68eaed0e-b007-4207-ba4f-b3cf7fe3e8cb.id.repl.co,Colombia,,68eaed0e-b007-4207-ba4f-b3cf7fe3e8cb.id.repl.co
wwwerr.pagedemo.co,wwwerr.pagedemo.co,Colombia,,wwwerr.pagedemo.co
daafc396-5ac1-4dd9-ab09-1970c298f128.id.repl.co,daafc396-5ac1-4dd9-ab09-1970c298f128.id.repl.co,Colombia,,daafc396-5ac1-4dd9-ab09-1970c298f128.id.repl.co
suprams.com.br/admin/linkedIn.com/linkedIn.com/login.php?ctapq=%7B%7Bemail%7D%7D,suprams.com.br,Brasil,,suprams.com.br
lucasesmeraldino.com.br/redirect.php?v=ca4f8a5ad82c5cb,lucasesmeraldino.com.br,Brasil,,lucasesmeraldino.com.br
ofiice.smartwebinfo.com.br,ofiice.smartwebinfo.com.br,Brasil,,ofiice.smartwebinfo.com.br
opech.cl/new,opech.cl,Chile,,opech.cl
solicitudes2023.xxxxxbcl.repl.co,solicitudes2023.xxxxxbcl.repl.co,Colombia,,solicitudes2023.xxxxxbcl.repl.co
affiliateshopee.com.br/,affiliateshopee.com.br,Brasil,,affiliateshopee.com.br
jlorodt.blogspot.pe/?m=1,jlorodt.blogspot.pe,Perú,,jlorodt.blogspot.pe
zmaak.obeyx.com.br/chase/firstlog.php?public/enroll/IdentifyUser-aspx-LOB=RBGLogon=MjAyODgyNjAxNw==MjAyODgyNjAxNw==&session=MjAyODgyNjAxNw==MjAyODgyNjAxNw==,zmaak.obeyx.com.br,Brasil,,zmaak.obeyx.com.br
facebook-alerts.blogspot.com.ar,facebook-alerts.blogspot.com.ar,Argentina,,facebook-alerts.blogspot.com.ar
s4-72.com.co,s4-72.com.co,Colombia,,s4-72.com.co
www-eemteam.ventisca.cl,www-eemteam.ventisca.cl,Chile,,www-eemteam.ventisca.cl
acm1.eim.ae.iwc.static.c11n.all.circulosolidario.sv/etisalat-RD65/index.html,acm1.eim.ae.iwc.static.c11n.all.circulosolidario.sv,El Salvador,,acm1.eim.ae.iwc.static.c11n.all.circulosolidario.sv
79af3a59-ea15-4ec0-8766-76a215fbb4e8.id.repl.co,79af3a59-ea15-4ec0-8766-76a215fbb4e8.id.repl.co,Colombia,,79af3a59-ea15-4ec0-8766-76a215fbb4e8.id.repl.co
login.verifier-hypsequad.repl.co,login.verifier-hypsequad.repl.co,Colombia,,login.verifier-hypsequad.repl.co
v6hbarodpv3rn7flrwytwod7.we9ixzz.co/index/usps/index.html,v6hbarodpv3rn7flrwytwod7.we9ixzz.co,Colombia,,v6hbarodpv3rn7flrwytwod7.we9ixzz.co
symco.com.mx/ES6454814,symco.com.mx,México,,symco.com.mx
centrica.mx/up/new%20papi%20at&t/olam/?callingSystemId=eCare&key=ecare&returnURL=https://www.att.com,centrica.mx,México,,centrica.mx
adirem.mx/Netflix/4b9d2d2a09f142e/login.php,adirem.mx,México,,adirem.mx
clasificadospropiedades.cl/propiedades/media/cms,clasificadospropiedades.cl,Chile,,clasificadospropiedades.cl
premiums459.blogspot.pe/?id=619a6f10&m=1,premiums459.blogspot.pe,Perú,,premiums459.blogspot.pe
hmbrgr.co/67760,hmbrgr.co,Colombia,,hmbrgr.co
santaisabelfm.com.uy/dspm,santaisabelfm.com.uy,Uruguay,,santaisabelfm.com.uy
ghufhkg.zz.com.ve,ghufhkg.zz.com.ve,Venezuela,,ghufhkg.zz.com.ve
premium-promociones.com/paga-ofertas/tc/falabella/falabella.html,premium-promociones.com,Chile,,premium-promociones.com
partners.cog.cl/delivero/Packet/ch/shipment,partners.cog.cl,Chile,,partners.cog.cl
196700504589198.graficaaoquadrado.com.br/?300067340870152=zxjpbi51cml0dxnab3v0yw5kzxf1ywwub3jn,196700504589198.graficaaoquadrado.com.br,Brasil,,196700504589198.graficaaoquadrado.com.br
1jio.co,1jio.co,Colombia,,1jio.co
instagrammw.blogspot.cl,instagrammw.blogspot.cl,Chile,,instagrammw.blogspot.cl
deniseciganimakeup.com.br/sharefile/view,deniseciganimakeup.com.br,Brasil,,deniseciganimakeup.com.br
23435454456456.345435345345345.repl.co/01loading.php,23435454456456.345435345345345.repl.co,Colombia,,23435454456456.345435345345345.repl.co
bancolombi25.bancolombi25.repl.co,bancolombi25.bancolombi25.repl.co,Colombia,,bancolombi25.bancolombi25.repl.co
nacion.1set.repl.co,nacion.1set.repl.co,Colombia,,nacion.1set.repl.co
wvwv.obtentucuernta.repl.co,wvwv.obtentucuernta.repl.co,Colombia,,wvwv.obtentucuernta.repl.co
b.advamandamascarenhas.com.br/i/e.html,b.advamandamascarenhas.com.br,Brasil,,b.advamandamascarenhas.com.br
645b375d-0aac-41fe-ae0a-ad823dd9afbc.id.repl.co,645b375d-0aac-41fe-ae0a-ad823dd9afbc.id.repl.co,Colombia,,645b375d-0aac-41fe-ae0a-ad823dd9afbc.id.repl.co
facebookgroupinv.blogspot.com.ar,facebookgroupinv.blogspot.com.ar,Argentina,,facebookgroupinv.blogspot.com.ar
purple-sky-5087.on.fleek.co,purple-sky-5087.on.fleek.co,Colombia,,purple-sky-5087.on.fleek.co
elvascoweb.com.ar/arterc,elvascoweb.com.ar,Argentina,,elvascoweb.com.ar
aggiornamento.app.clienti.ducoreta.com.br,aggiornamento.app.clienti.ducoreta.com.br,Brasil,,aggiornamento.app.clienti.ducoreta.com.br
casalgarcez.com.br/3,casalgarcez.com.br,Brasil,,casalgarcez.com.br
awareincomparableobjectmodel--five-nine.repl.co,awareincomparableobjectmodel--five-nine.repl.co,Colombia,,awareincomparableobjectmodel--five-nine.repl.co
paypalupdate.co/index.html,paypalupdate.co,Colombia,,paypalupdate.co
onlinelandbank.server-access.repl.co,onlinelandbank.server-access.repl.co,Colombia,,onlinelandbank.server-access.repl.co
rabbitmidia.com.br/wp-includes/SimplePie/XML/Declaration/.zhy3nz/.xc723hs,rabbitmidia.com.br,Brasil,,rabbitmidia.com.br
novo.agtturismo.com.br/search,novo.agtturismo.com.br,Brasil,,novo.agtturismo.com.br
